apps/frappe/frappe/core/doctype/doctype/doctype.py +234,Field {0} of type {1} cannot be mandatory,Field {0} of type {1} cannot be mandatory
apps/frappe/frappe/core/doctype/doctype/doctype.py +239,Options requried for Link or Table type field {0} in row {1},Options requried for Link or Table type field {0} in row {1}
apps/frappe/frappe/core/doctype/doctype/doctype.py +245,Options must be a valid DocType for field {0} in row {1},Options must be a valid DocType for field {0} in row {1}
apps/frappe/frappe/core/doctype/doctype/doctype.py +252,Field {0} in row {1} cannot be hidden and mandatory without default,Field {0} in row {1} cannot be hidden and mandatory without default
apps/frappe/frappe/core/doctype/doctype/doctype.py +256,Max width for type Currency is 100px in row {0},Max width for type Currency is 100px in row {0}
apps/frappe/frappe/core/doctype/doctype/doctype.py +267,Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType'
apps/frappe/frappe/core/doctype/doctype/doctype.py +271,Default for 'Check' type of field must be either '0' or '1',Default for 'Check' type of field must be either '0' or '1'
apps/frappe/frappe/core/doctype/doctype/doctype.py +273,Default for {0} must be an option,Default for {0} must be an option
apps/frappe/frappe/core/doctype/doctype/doctype.py +277,Precision should be between 1 and 6,Precision should be between 1 and 6
apps/frappe/frappe/core/doctype/doctype/doctype.py +281,Fieldtype {0} for {1} cannot be unique,Fieldtype {0} for {1} cannot be unique
apps/frappe/frappe/core/doctype/doctype/doctype.py +284,Fieldtype {0} for {1} cannot be indexed,Fieldtype {0} for {1} cannot be indexed
apps/frappe/frappe/core/doctype/doctype/doctype.py +291,There can be only one Fold in a form,There can be only one Fold in a form
apps/frappe/frappe/core/doctype/doctype/doctype.py +296,Fold must come before a Section Break,Fold must come before a Section Break
apps/frappe/frappe/core/doctype/doctype/doctype.py +298,Fold can not be at the end of the form,Fold can not be at the end of the form
apps/frappe/frappe/core/doctype/doctype/doctype.py +308,Search Fields should contain valid fieldnames,Search Fields should contain valid fieldnames
apps/frappe/frappe/core/doctype/doctype/doctype.py +316,Fieldname is required in row {0},Fieldname is required in row {0}
apps/frappe/frappe/core/doctype/doctype/doctype.py +33,Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.,Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.
apps/frappe/frappe/core/doctype/doctype/doctype.py +349,Enter at least one permission row,Enter at least one permission row
apps/frappe/frappe/core/doctype/doctype/doctype.py +357,For {0} at level {1} in {2} in row {3},For {0} at level {1} in {2} in row {3}
apps/frappe/frappe/core/doctype/doctype/doctype.py +36,{0} not allowed in name,{0} not allowed in name
apps/frappe/frappe/core/doctype/doctype/doctype.py +361,{0}: No basic permissions set,{0}: No basic permissions set
apps/frappe/frappe/core/doctype/doctype/doctype.py +373,If Owner,If Owner
apps/frappe/frappe/core/doctype/doctype/doctype.py +378,"{0}: Only one rule allowed with the same Role, Level and {1}","{0}: Only one rule allowed with the same Role, Level and {1}"
apps/frappe/frappe/core/doctype/doctype/doctype.py +390,{0}: Permission at level 0 must be set before higher levels are set,{0}: Permission at level 0 must be set before higher levels are set
apps/frappe/frappe/core/doctype/doctype/doctype.py +397,{0}: Cannot set Cancel without Submit,{0}: Cannot set Cancel without Submit
apps/frappe/frappe/core/doctype/doctype/doctype.py +400,"{0}: Cannot set Submit, Cancel, Amend without Write","{0}: Cannot set Submit, Cancel, Amend without Write"
apps/frappe/frappe/core/doctype/doctype/doctype.py +402,{0}: Cannot set Amend without Cancel,{0}: Cannot set Amend without Cancel
apps/frappe/frappe/core/doctype/doctype/doctype.py +404,{0}: Cannot set Import without Create,{0}: Cannot set Import without Create
apps/frappe/frappe/core/doctype/doctype/doctype.py +411,Report cannot be set for Single types,Report cannot be set for Single types
apps/frappe/frappe/core/doctype/doctype/doctype.py +421,{0} cannot be set for Single types,{0} cannot be set for Single types
apps/frappe/frappe/core/doctype/doctype/doctype.py +425,{0}: Cannot set Assign Submit if not Submittable,{0}: Cannot set Assign Submit if not Submittable
apps/frappe/frappe/core/doctype/doctype/doctype.py +427,{0}: Cannot set Assign Amend if not Submittable,{0}: Cannot set Assign Amend if not Submittable
apps/frappe/frappe/core/doctype/doctype/doctype.py +431,{0}: Cannot set import as {1} is not importable,{0}: Cannot set import as {1} is not importable
apps/frappe/frappe/core/doctype/doctype/doctype.py +78,Title field must be a valid fieldname,Title field must be a valid fieldname
apps/frappe/frappe/core/doctype/file_data/file_data.py +33,Same file has already been attached to the record,Same file has already been attached to the record
apps/frappe/frappe/core/doctype/file_data/file_data.py +42,No permission to write / remove.,No permission to write / remove.
apps/frappe/frappe/core/doctype/page/page.py +32,Not in Developer Mode,Not in Developer Mode
apps/frappe/frappe/core/doctype/report/report.js +10,[Label]:[Field Type]/[Options]:[Width],[Label]:[Field Type]/[Options]:[Width]
apps/frappe/frappe/core/doctype/report/report.js +11,Example:,Primjer:
apps/frappe/frappe/core/doctype/report/report.js +16,Write a Python file in the same folder where this is saved and return column and result.,Write a Python file in the same folder where this is saved and return column and result.
apps/frappe/frappe/core/doctype/report/report.js +37,Disable Report,Disable Report
apps/frappe/frappe/core/doctype/report/report.js +37,Enable Report,Enable Report
apps/frappe/frappe/core/doctype/report/report.js +5,Report Builder reports are managed directly by the report builder. Nothing to do.,Report Builder reports are managed directly by the report builder. Nothing to do.
apps/frappe/frappe/core/doctype/report/report.js +8,Write a SELECT query. Note result is not paged (all data is sent in one go).,Write a SELECT query. Note result is not paged (all data is sent in one go).
apps/frappe/frappe/core/doctype/report/report.js +9,"To format columns, give column labels in the query.","To format columns, give column labels in the query."
apps/frappe/frappe/core/doctype/report/report.py +24,Only Administrator can save a standard report. Please rename and save.,Only Administrator can save a standard report. Please rename and save.
apps/frappe/frappe/core/doctype/report/report.py +29,Only Administrator allowed to create Query / Script Reports,Only Administrator allowed to create Query / Script Reports
apps/frappe/frappe/core/doctype/role/role.js +9,Edit Permissions,Edit Permissions
apps/frappe/frappe/core/doctype/scheduler_log/scheduler_log_list.js +7,Not Seen,Not Seen
apps/frappe/frappe/core/doctype/system_settings/system_settings.py +19,Session Expiry must be in format {0},Session Expiry must be in format {0}
apps/frappe/frappe/core/doctype/user/user.js +156,Add all roles,Add all roles
apps/frappe/frappe/core/doctype/user/user.js +166,Clear all roles,Clear all roles
apps/frappe/frappe/core/doctype/user/user.js +321,Role Permissions,Role Permissions
apps/frappe/frappe/core/doctype/user/user.js +45,Refreshing...,Refreshing...
